Acc,Cans,Kilograms,Fat,SNF,Date,Shift
786,1,10,5.0,8.3,2017-09-18,0
795,4,127,7.7,8.5,2017-09-19,1
873,2,59,6.3,8.3,2017-09-19,1
3665,3,119,8.2,8.6,2017-09-19,1
865,1,34,7.5,8.5,2017-09-19,1
2959,2,74,6.8,8.4,2017-09-19,1
871,2,46,6.4,8.4,2017-09-19,1
786,1,10,5.7,8.1,2017-09-19,1
893,1,30,7.2,8.4,2017-09-19,1
925,1,21,5.2,8.0,2017-09-19,1
949,3,103,7.2,8.7,2017-09-19,1
457,1,27,7.0,8.2,2017-09-19,1
873,2,50,5.2,8.6,2017-09-19,0
949,2,61,6.1,8.7,2017-09-19,0
457,1,20,3.2,8.2,2017-09-19,0
925,1,34,5.2,8.1,2017-09-19,0
893,1,21,5.3,8.3,2017-09-19,0
